K1,K2,K3,K4,K5,K6,K7,K8,score_class
-259751350.268695,-259862215.376786,142275854.682283,276222.266639,-32850.075616,-142575527.184805,-57628.794469,5197.884474,0
-251083163.438152,-251209880.275234,248546673.757364,151305.030346,-43256.236868,-248720313.582873,-102040.309226,41570.951432,1
-251107318.618715,-251185065.183314,362611013.057724,648505.803116,-19667.43692,-363280871.583196,-95233.349553,60623.510316,1
-251111238.249692,-251183120.090257,179060238.674706,248363.96145,-35013.407075,-179309754.449942,-78247.127283,43303.00224,1
-173201176.714367,-173208534.466198,191099801.780403,193146.181704,-2104.441731,-191294498.147581,-6245.775212,3465.833666,0
-242464993.038779,-242507797.210387,192430409.97615,565897.3719,-18751.182043,-192999482.19718,-18929.583276,1.732051,1
-242439933.727695,-242532989.889383,112554368.583237,261427.08864,-41136.20668,-112819057.123548,-132377.179121,88336.323237,0
-259713629.666208,-259875657.823104,446285608.148513,917015.247508,-70984.638247,-447272825.147303,-74105.793802,32910.697395,1
-240678011.971899,-240825177.400815,699191451.95274,978030.201307,-48500.886714,-700199117.543365,-71348.368916,8661.986089,1
-251104781.164281,-251187853.785114,306534709.420691,412532.933144,-33272.696013,-306956207.448815,-117568.144716,79676.069199,1
-242451867.55776,-242521348.775905,53905739.134207,120566.324664,-32183.236055,-54029676.029742,-74488.57703,41570.951432,0
-233820422.720998,-233831539.02308,54910486.21922,79021.353994,-3173.117079,-54993896.58996,-2684.678752,1.732051,0
-225161505.826377,-225170981.876345,186198780.423002,680777.373763,-2424.871131,-186880524.281115,-34060.779131,31178.646587,1
-242475394.003879,-242497796.349024,224697579.481671,229333.919227,-9690.824268,-224930095.178231,-9413.696139,1.732051,1
-237287370.095612,-237294097.380949,228841869.573297,368353.513195,-1870.614872,-229209374.381596,-2232.613491,1.732051,0
-225109270.638122,-225221952.66751,212165670.541617,281317.960115,-31428.061903,-212471446.791185,-125511.32972,72747.865969,0
-225142418.626477,-225189242.888009,118871616.871904,152119.094226,-20597.548204,-119027918.86883,-20819.250707,1.732051,0
-237264210.844264,-237316962.183659,55632432.708628,145211.675605,-21529.391538,-55781411.594739,-24977.904696,1.732051,0
-242448737.74195,-242521334.919499,305920737.246577,896888.817125,-23202.552618,-306830155.719243,-108871.517611,79676.069199,1
-233822646.674234,-233830382.013141,219848339.515212,273736.77373,-2012.643038,-220123409.968064,-5968.647083,3465.833666,0
-259804188.210631,-259809703.060402,162682863.440653,292115.564849,-2409.282673,-162977021.093404,-320.429399,1.732051,1
-207722144.424272,-207948589.282752,506218755.9213,336702.016737,-57829.712363,-506627440.237549,-193069.971469,112585.034543,0
-233715344.394655,-233935356.416435,110750079.132636,139277.669538,-87884.257976,-110914468.074783,-105222.08656,1.732051,0
-259795585.11427,-259817680.886422,232985517.074073,568814.14546,-7168.958293,-233559123.804117,-7482.459489,1.732051,1
-2593643.011356,-2600994.716964,83946534.026259,30425.204486,-3212.104178,-83980506.50271,-1376.098411,1.732051,1
-242458865.043022,-242490485.362565,91413159.075995,22083.647797,-25798.896779,-91485693.899715,-24837.608581,46767.103855,1
-233726673.738987,-233925767.783165,318015246.200043,752207.149067,-51500.798712,-318814972.163015,-425769.265415,329091.385489,1
-233795867.436699,-233857019.222511,143774804.360118,135034.14506,-28540.733207,-143913025.478664,-51570.080745,22518.392549,1
-233749273.537924,-233901836.037156,213329232.829278,384982.932998,-71887.036717,-213720754.254075,-116786.989802,45035.053048,1
-228595757.277897,-228665278.333211,144331281.107676,136922.08044,-33283.088318,-144469613.077473,-52993.826508,19054.290934,1
-190493071.310715,-190555667.626901,393388028.239411,871559.306115,-24951.923934,-394264785.429999,-27082.346427,1.732051,1
-225143445.732606,-225188690.363801,373054997.103083,549870.705777,-20122.966282,-373608214.13102,-30955.212033,10394.036896,1
